slug,bandcamp_url,actual_track_count,status
calvin-cafe-2015,https://escutecalvin.bandcamp.com/album/caf,4,updated
calvin-voichicoski-opaco-2015,https://calvinvoichicoski.bandcamp.com/album/opaco,5,updated
capona-adults-are-young-who-failed-2015,https://capona.bandcamp.com/album/adults-are-the-young-who-failed,5,updated
pranada---espanta-hype-,https://pranada.bandcamp.com/album/espanta-hype,3,updated
pulsive---ato-3,https://pulsive.bandcamp.com/album/ato-3,3,updated
ccccchaves-beautiful-sunrise,https://somosnas.bandcamp.com/album/beautiful-sunrise-nas015,5,updated
raad-abdullah-ferreira---artista-de-domingo,https://raadferreira.bandcamp.com/album/artista-de-domingo,4,updated
cellardoor-changing-tides-ep,https://cellardoorbr.bandcamp.com/album/changing-tides-ep-2015,5,updated
chancho-baladinha-dancante-ep-2015,https://chanchopv.bandcamp.com/album/baladinha-dan-ante-ep-2015,6,updated
chapa-mamba-banda-forra-2015,https://chapamamba.bandcamp.com/album/banda-forra,10,updated
cidadao-plebeu-vida-vai-ensinar-2015,https://cidadaoplebeu.bandcamp.com/album/a-vida-vai-ensinar,11,updated
gustavo-nobio---ch--de-boldo--single-,https://gustavonobio.bandcamp.com/album/ch-de-boldo-single,2,updated
cigana-torre-2015,https://cigana.bandcamp.com/album/a-torre-ep,4,updated
lonely-me---no-slncs-wthn-hard-panning---cassette-pan,https://lonelyme.bandcamp.com/album/no-slncs-wthn-hard-panning-cassette-pan,8,updated
luiza-brina---prece,https://luizabrina.bandcamp.com/album/prece,11,updated
marimbondo-plenos-pulmoes-2024,https://marimbondo.bandcamp.com/album/plenos-pulm-es,,failed
coliseum-i-hate-them-all-2015,https://vianocturna.bandcamp.com/album/i-hate-them-all,5,updated
cybass-time-left,https://beatwiserecordings.bandcamp.com/album/time-left-bwr019,5,updated
negro-leo---rela,https://negroleo.bandcamp.com/album/rela-2,13,updated
dama-da-noite-discos---mercen-rias---demo-1983-7,https://damadanoitediscos.bandcamp.com/album/mercen-rias-demo-1983-7,8,updated
n-va---low--1,https://noovaband.bandcamp.com/album/low-1,3,updated
danger-city---everything-is-a-menace-in-danger-city,https://dngrcty.bandcamp.com/album/everything-is-a-menace-in-danger-city,9,updated
o-no-era-normal-2024,https://onorock.bandcamp.com/album/era-normal,8,updated
dead-in-dump---did-ddk,https://deadindump.bandcamp.com/album/did-ddk,8,updated
dead-limbs-lighthouse,https://dead-limbs.bandcamp.com/album/lighthouse,6,updated
reiner---el-,https://reinermusica.bandcamp.com/album/el,11,updated
deb-and-mentals-feel-mantra-ep-2015,https://debandthementals.bandcamp.com/album/feel-the-mantra,4,updated
the-parking-lots---rebobine-antes-de-devolver,https://wearetheparkinglots.bandcamp.com/album/rebobine-antes-de-devolver,3,updated
dengue-o-mal-do-homem-pelas-maos-do,https://bigornadiscos.bandcamp.com/album/o-mal-do-homem-pelas-m-os-do-homem,6,updated
desatino---entreguerras,https://refilrecords.bandcamp.com/album/entreguerras,10,updated
tuer-lapin---pedras-crescem-no-escuro,https://tuerlapin.bandcamp.com/album/pedras-crescem-no-escuro,13,updated
valvulosa---tino,https://valvulosa.bandcamp.com/album/tino,7,updated
dianamita-aos-meus-inimigos-ep-2015,https://diamanita.bandcamp.com/album/aos-meus-inimigos-ep,4,updated
domingo-blanco----h--metaf-sica-bastante-na-realidade-,https://domingoblanco.bandcamp.com/album/h-metaf-sica-bastante-na-realidade,6,updated
eef-barzelay---fan-chosen-covers-5,https://eefbarzelay-clemsnide.bandcamp.com/album/fan-chosen-covers-5,7,updated
dotoilage-racehouse-ep-2015,https://dotoilage.bandcamp.com/album/racehouse-ep,7,updated
double-six-strings---edif-cio-jk--ep-,https://polidorodiscos.bandcamp.com/album/edif-cio-jk-ep,3,updated
evehive---pisa-pisa,https://mambarec.bandcamp.com/album/pisa-pisa,3,updated
felipe-locks---violaum,https://locksbrasil.bandcamp.com/album/violaum,1,updated
dunas-quarenta-e-cinco-minutos-2015,https://dunasbr.bandcamp.com/album/quarenta-e-cinco-minutos,10,updated
fragoria---fragoria,https://fragoria.bandcamp.com/album/fragoria,5,updated
dutra-dutra-ep,https://dutra.bandcamp.com/album/dutra-ep,4,updated
elefante-voador-elefante-voador,https://elefantevoador.bandcamp.com/album/elefante-voador-2,8,updated
emerald-hill-dreams-to-come-2015,https://emeraldhillmusic.bandcamp.com/album/dreams-to-come,6,updated
knop---w93,https://knop.bandcamp.com/album/w93,8,updated
endless-agony-ep-2015,https://endlessagonybmt.bandcamp.com/album/ep-2015,5,updated
escalier-quando-os-ombros-nao-suportam,https://banda-escalier.bandcamp.com/album/quando-os-ombros-n-o-suportam-mais-o-mundo,9,updated
eter-fogo,https://etersongs.bandcamp.com/album/fogo,5,updated
eterno-eterno-2015,https://eternoeternoeterno.bandcamp.com/album/eterno,9,updated
felipe-neiva-chegou-fim-de-festa,https://felipeneiva.bandcamp.com/album/chegou-fim-de-festa,10,updated
marimbondo-amador-2023,https://marimbondo.bandcamp.com/album/amador,,failed
floating-kid-left,https://floatingkid.bandcamp.com/album/left,5,updated
floema-ishtar,https://floema.bandcamp.com/album/ishtar,8,updated
folest-folest-ii,https://folest.bandcamp.com/album/folest-xi,12,updated
folium-of-descartes-fuse-2015,https://foliumofdescartes.bandcamp.com/album/fuse,9,updated
frabin-real,https://midsummermadness.bandcamp.com/album/real,12,updated
ot-n---lotus,https://otenfolk.bandcamp.com/album/lotus,4,updated
fromhelven-wonderwar-2015,https://fromhelven.bandcamp.com/album/wonderwar,,failed
pork-suicidal---mk-ultra-xix-the-party,https://porksuicidal.bandcamp.com/album/mk-ultra-xix-the-party,8,updated
giallos-anjos-negros-ep-2015,https://zumbidor.bandcamp.com/album/anjos-negros-zbr003,,failed
prefeitura-do-rio-radionadaver-2023,https://prefeiturarjdhc.bandcamp.com/album/radionadaver,3,updated
gordura-trans-repertorio-infindavel-de,https://bichanorecords.bandcamp.com/album/repert-rio-infind-vel-de-dolorosas-piadas,7,updated
gudicarmas---dharma,https://gudicarmas.bandcamp.com/album/dharma,12,updated
gudicarmas-dharma-2015,https://gudicarmas.bandcamp.com/album/dharma,12,updated
sila-crvs-a-o-a---as-horas-do-cora--o-sombrio,https://silacrvs.bandcamp.com/album/as-horas-do-cora-o-sombrio,8,updated
guilherme-granado-homeless-loops-2015,https://propositorecs.bandcamp.com/album/homeless-loops,,failed
